RunId,iteration,Step,width,height,density,minority_pc,homophily,altruism,policy,follow_policy,perc_happy,segregation
5,0,25,50,50,0.75,0.4,3,0.1,random,0.5,1.0,0.6493524015110631
6,0,20,50,50,0.75,0.4,3,0.1,random,0.6,1.0,0.6474151857835219
8,0,30,50,50,0.75,0.4,3,0.1,random,0.8,1.0,0.6658615136876006
3,0,27,50,50,0.75,0.4,3,0.1,random,0.3,1.0,0.6588092672413793
4,0,32,50,50,0.75,0.4,3,0.1,random,0.4,1.0,0.6464537087168382
0,0,23,50,50,0.75,0.4,3,0.1,random,0.0,1.0,0.6543615344193379
7,0,25,50,50,0.75,0.4,3,0.1,random,0.7,1.0,0.6661290322580645
9,0,22,50,50,0.75,0.4,3,0.1,random,0.9,1.0,0.6539174166225517
2,0,20,50,50,0.75,0.4,3,0.1,random,0.2,1.0,0.6663553895410885
1,0,20,50,50,0.75,0.4,3,0.1,random,0.1,1.0,0.6558355437665783
10,0,28,50,50,0.75,0.4,3,0.1,random,1.0,1.0,0.6563841201716738
11,0,25,50,50,0.75,0.4,3,0.1,distance_relevance,0.0,1.0,0.6531862745098039
13,0,31,50,50,0.75,0.4,3,0.1,distance_relevance,0.2,1.0,0.6529850746268657
12,0,65,50,50,0.75,0.4,3,0.1,distance_relevance,0.1,1.0,0.6576057846813069
16,0,41,50,50,0.75,0.4,3,0.1,distance_relevance,0.5,1.0,0.619041313559322
14,0,100,50,50,0.75,0.4,3,0.1,distance_relevance,0.3,0.9989235737351991,0.6385898815931109
15,0,100,50,50,0.75,0.4,3,0.1,distance_relevance,0.4,0.9994813278008299,0.6414678423236515
18,0,64,50,50,0.75,0.4,3,0.1,distance_relevance,0.7,1.0,0.6144997324772605
17,0,100,50,50,0.75,0.4,3,0.1,distance_relevance,0.6,0.9983827493261456,0.6245283018867924
19,0,63,50,50,0.75,0.4,3,0.1,distance_relevance,0.8,1.0,0.6330299785867237
22,0,20,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.0,1.0,0.6525784157363105
20,0,39,50,50,0.75,0.4,3,0.1,distance_relevance,0.9,1.0,0.6199785752544189
23,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.1,0.9973219068023568,0.6585431173004821
21,0,100,50,50,0.75,0.4,3,0.1,distance_relevance,1.0,0.9978483055406132,0.6180742334588488
24,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.2,0.9913279132791328,0.6428184281842818
25,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.3,0.9876476906552094,0.6374865735767992
26,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.4,0.9858118759852864,0.6374146085128745
33,0,33,50,50,0.75,0.4,3,0.1,minimum_improvement,0.0,1.0,0.6609424920127795
28,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.6,0.9919311457772996,0.6362291554599246
34,0,30,50,50,0.75,0.4,3,0.1,minimum_improvement,0.1,1.0,0.6438539989264627
35,0,23,50,50,0.75,0.4,3,0.1,minimum_improvement,0.2,1.0,0.6489445910290238
36,0,34,50,50,0.75,0.4,3,0.1,minimum_improvement,0.3,1.0,0.6395286555972148
38,0,23,50,50,0.75,0.4,3,0.1,minimum_improvement,0.5,1.0,0.6071991592222806
37,0,32,50,50,0.75,0.4,3,0.1,minimum_improvement,0.4,1.0,0.6428384736016728
29,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.7,0.9661554732945531,0.6203067160232681
40,0,18,50,50,0.75,0.4,3,0.1,minimum_improvement,0.7,1.0,0.5979020979020979
39,0,47,50,50,0.75,0.4,3,0.1,minimum_improvement,0.6,1.0,0.609688489968321
30,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.8,0.9688841201716738,0.6140021459227468
31,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.9,0.9747583243823845,0.6009667024704619
27,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,0.5,0.9628415300546448,0.617896174863388
41,0,15,50,50,0.75,0.4,3,0.1,minimum_improvement,0.8,1.0,0.5801435406698564
43,0,9,50,50,0.75,0.4,3,0.1,minimum_improvement,1.0,1.0,0.570976253298153
42,0,15,50,50,0.75,0.4,3,0.1,minimum_improvement,0.9,1.0,0.581454643048846
45,0,20,50,50,0.75,0.4,3,0.1,maximum_improvement,0.1,1.0,0.6680944963655244
44,0,19,50,50,0.75,0.4,3,0.1,maximum_improvement,0.0,1.0,0.6679224973089344
46,0,20,50,50,0.75,0.4,3,0.1,maximum_improvement,0.2,1.0,0.6643763213530656
47,0,30,50,50,0.75,0.4,3,0.1,maximum_improvement,0.3,1.0,0.7038115404976177
48,0,16,50,50,0.75,0.4,3,0.1,maximum_improvement,0.4,1.0,0.6836225026288117
49,0,26,50,50,0.75,0.4,3,0.1,maximum_improvement,0.5,1.0,0.7080042127435492
32,0,100,50,50,0.75,0.4,3,0.1,rich_neighborhood,1.0,0.9629032258064516,0.6079301075268817
50,0,19,50,50,0.75,0.4,3,0.1,maximum_improvement,0.6,1.0,0.700213561131874
52,0,19,50,50,0.75,0.4,3,0.1,maximum_improvement,0.8,1.0,0.733405288720993
54,0,17,50,50,0.75,0.4,3,0.1,maximum_improvement,1.0,1.0,0.7395663956639567
51,0,25,50,50,0.75,0.4,3,0.1,maximum_improvement,0.7,1.0,0.7136100893326327
53,0,24,50,50,0.75,0.4,3,0.1,maximum_improvement,0.9,1.0,0.7225882973115445
55,0,23,50,50,0.75,0.4,3,0.1,recently_emptied,0.0,1.0,0.6780021253985122
58,0,100,50,50,0.75,0.4,3,0.1,recently_emptied,0.3,0.9978598180845372,0.6673354735152488
56,0,100,50,50,0.75,0.4,3,0.1,recently_emptied,0.1,0.9963369963369964,0.6713762428048142
66,0,27,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.0,1.0,0.6577540106951871
57,0,100,50,50,0.75,0.4,3,0.1,recently_emptied,0.2,0.990343347639485,0.6573229613733905
61,0,100,50,50,0.75,0.4,3,0.1,recently_emptied,0.6,0.9915254237288136,0.6878972457627118
67,0,100,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.1,0.9973161567364466,0.6484165324745035
68,0,100,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.2,0.9947616553169198,0.6536144578313253
59,0,100,50,50,0.75,0.4,3,0.1,recently_emptied,0.4,0.9854132901134521,0.6549162614802809
60,0,100,50,50,0.75,0.4,3,0.1,recently_emptied,0.5,0.9858233369683751,0.6523991275899673
62,0,100,50,50,0.75,0.4,3,0.1,recently_emptied,0.7,0.9814323607427056,0.6607427055702918
69,0,100,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.3,0.991062039957939,0.6278916929547844
63,0,100,50,50,0.75,0.4,3,0.1,recently_emptied,0.8,0.980224478888295,0.6401656867985035
70,0,100,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.4,0.985378590078329,0.6378590078328982
77,0,18,50,50,0.75,0.4,3,0.1,different_neighborhood,0.0,1.0,0.6617881852048962
71,0,100,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.5,0.9850026780931976,0.6387252276379218
72,0,100,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.6,0.9867724867724867,0.6288359788359789
78,0,34,50,50,0.75,0.4,3,0.1,different_neighborhood,0.1,1.0,0.6525974025974026
73,0,100,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.7,0.9834490122797651,0.6289375333689269
81,0,29,50,50,0.75,0.4,3,0.1,different_neighborhood,0.4,1.0,0.6802597402597402
74,0,100,50,50,0.75,0.4,3,0.1,similar_neighborhood,0.8,0.9781659388646288,0.6185862445414847
79,0,100,50,50,0.75,0.4,3,0.1,different_neighborhood,0.2,0.9994646680942184,0.6663543897216274
80,0,100,50,50,0.75,0.4,3,0.1,different_neighborhood,0.3,0.9968253968253968,0.6507936507936508
82,0,100,50,50,0.75,0.4,3,0.1,different_neighborhood,0.5,0.996803409696324,0.6810069259456579
83,0,46,50,50,0.75,0.4,3,0.1,different_neighborhood,0.6,1.0,0.6658576051779935
