RunId,iteration,Step,width,height,density,minority_pc,homophily,altruism,policy,follow_policy,perc_happy,segregation
1,0,24,50,50,0.75,0.4,3,0.0,random,0.1,1.0,0.662956008583691
0,0,23,50,50,0.75,0.4,3,0.0,random,0.0,1.0,0.6606851549755302
3,0,24,50,50,0.75,0.4,3,0.0,random,0.3,1.0,0.6405419766206164
8,0,28,50,50,0.75,0.4,3,0.0,random,0.8,1.0,0.6577109081139173
5,0,29,50,50,0.75,0.4,3,0.0,random,0.5,1.0,0.6653532608695653
6,0,33,50,50,0.75,0.4,3,0.0,random,0.6,1.0,0.6572692095080155
9,0,24,50,50,0.75,0.4,3,0.0,random,0.9,1.0,0.6745609366684406
2,0,29,50,50,0.75,0.4,3,0.0,random,0.2,1.0,0.6631760339342524
7,0,34,50,50,0.75,0.4,3,0.0,random,0.7,1.0,0.6601827676240208
4,0,38,50,50,0.75,0.4,3,0.0,random,0.4,1.0,0.6730565838180856
11,0,25,50,50,0.75,0.4,3,0.0,distance_relevance,0.0,1.0,0.659984067976633
10,0,37,50,50,0.75,0.4,3,0.0,random,1.0,1.0,0.6749213836477987
12,0,31,50,50,0.75,0.4,3,0.0,distance_relevance,0.1,1.0,0.6545018646776771
15,0,35,50,50,0.75,0.4,3,0.0,distance_relevance,0.4,1.0,0.6405998928762721
13,0,100,50,50,0.75,0.4,3,0.0,distance_relevance,0.2,0.9994780793319415,0.6367432150313153
16,0,48,50,50,0.75,0.4,3,0.0,distance_relevance,0.5,1.0,0.6289473684210526
17,0,66,50,50,0.75,0.4,3,0.0,distance_relevance,0.6,1.0,0.6242713301536831
14,0,100,50,50,0.75,0.4,3,0.0,distance_relevance,0.3,0.9984455958549223,0.6607512953367876
22,0,27,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.0,1.0,0.6591644204851752
19,0,100,50,50,0.75,0.4,3,0.0,distance_relevance,0.8,0.9994612068965517,0.6148976293103449
18,0,100,50,50,0.75,0.4,3,0.0,distance_relevance,0.7,0.9994582881906826,0.6107800650054171
20,0,56,50,50,0.75,0.4,3,0.0,distance_relevance,0.9,1.0,0.6197862356621481
21,0,100,50,50,0.75,0.4,3,0.0,distance_relevance,1.0,0.9994646680942184,0.6169700214132763
23,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.1,0.9973132724341752,0.661472326706072
33,0,21,50,50,0.75,0.4,3,0.0,minimum_improvement,0.0,1.0,0.6723313860860329
25,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.3,0.9874869655891554,0.6506777893639207
24,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.2,0.9859231185706551,0.6659447753113157
34,0,25,50,50,0.75,0.4,3,0.0,minimum_improvement,0.1,1.0,0.640185676392573
35,0,18,50,50,0.75,0.4,3,0.0,minimum_improvement,0.2,1.0,0.6359556494192186
36,0,18,50,50,0.75,0.4,3,0.0,minimum_improvement,0.3,1.0,0.63704409363092
37,0,21,50,50,0.75,0.4,3,0.0,minimum_improvement,0.4,1.0,0.6242782152230971
38,0,19,50,50,0.75,0.4,3,0.0,minimum_improvement,0.5,1.0,0.6071044133476857
26,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.4,0.9754928076718167,0.6273308470964305
39,0,33,50,50,0.75,0.4,3,0.0,minimum_improvement,0.6,1.0,0.5895922746781116
40,0,18,50,50,0.75,0.4,3,0.0,minimum_improvement,0.7,1.0,0.5923942153186931
41,0,12,50,50,0.75,0.4,3,0.0,minimum_improvement,0.8,1.0,0.575479233226837
28,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.6,0.9679958027282266,0.6100472193074502
42,0,13,50,50,0.75,0.4,3,0.0,minimum_improvement,0.9,1.0,0.5616710875331565
43,0,10,50,50,0.75,0.4,3,0.0,minimum_improvement,1.0,1.0,0.5531266560678325
44,0,24,50,50,0.75,0.4,3,0.0,maximum_improvement,0.0,1.0,0.6629346680716544
27,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.5,0.9638033495407887,0.6112911939492166
45,0,35,50,50,0.75,0.4,3,0.0,maximum_improvement,0.1,1.0,0.6849128540305011
32,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,1.0,0.9725215517241379,0.5864762931034483
46,0,24,50,50,0.75,0.4,3,0.0,maximum_improvement,0.2,1.0,0.6823109465891063
48,0,20,50,50,0.75,0.4,3,0.0,maximum_improvement,0.4,1.0,0.7051042223409941
47,0,30,50,50,0.75,0.4,3,0.0,maximum_improvement,0.3,1.0,0.6845906902086677
49,0,23,50,50,0.75,0.4,3,0.0,maximum_improvement,0.5,1.0,0.7077107790821772
30,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.8,0.9654800431499461,0.6007281553398058
50,0,27,50,50,0.75,0.4,3,0.0,maximum_improvement,0.6,1.0,0.7316391697711548
29,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.7,0.9661290322580646,0.605510752688172
52,0,24,50,50,0.75,0.4,3,0.0,maximum_improvement,0.8,1.0,0.7400717043574186
51,0,24,50,50,0.75,0.4,3,0.0,maximum_improvement,0.7,1.0,0.7245061398825414
54,0,4,50,50,0.75,0.4,3,0.0,maximum_improvement,1.0,1.0,0.7505402485143166
53,0,14,50,50,0.75,0.4,3,0.0,maximum_improvement,0.9,1.0,0.7539957378795951
55,0,18,50,50,0.75,0.4,3,0.0,recently_emptied,0.0,1.0,0.6542328042328043
56,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.1,0.9989468141126909,0.6492890995260664
31,0,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.9,0.9581993569131833,0.5854769560557342
66,0,42,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.0,1.0,0.659891248058001
