RunId,iteration,Step,width,height,density,minority_pc,homophily,follow_policy,policy,altruism,perc_happy,segregation
0,0,20,50,50,0.75,0.4,3,1.0,random,0.0,1.0,0.6588281660535996
1,0,22,50,50,0.75,0.4,3,1.0,random,0.1,1.0,0.6567043618739903
2,0,27,50,50,0.75,0.4,3,1.0,random,0.2,1.0,0.6499457700650759
3,0,35,50,50,0.75,0.4,3,1.0,random,0.3,1.0,0.6607235814679854
4,0,25,50,50,0.75,0.4,3,1.0,random,0.4,1.0,0.6571466524973433
5,0,26,50,50,0.75,0.4,3,1.0,random,0.5,1.0,0.6556756756756756
6,0,32,50,50,0.75,0.4,3,1.0,random,0.6,1.0,0.6597784981091303
7,0,39,50,50,0.75,0.4,3,1.0,random,0.7,1.0,0.6476902173913044
9,0,24,50,50,0.75,0.4,3,1.0,random,0.9,1.0,0.651622187336473
8,0,33,50,50,0.75,0.4,3,1.0,random,0.8,1.0,0.6490641711229946
10,0,29,50,50,0.75,0.4,3,1.0,random,1.0,1.0,0.6296747967479674
14,0,100,50,50,0.75,0.4,3,1.0,distance,0.3,0.8063829787234043,0.4678191489361702
13,0,100,50,50,0.75,0.4,3,1.0,distance,0.2,0.7359580052493438,0.4217847769028871
12,0,100,50,50,0.75,0.4,3,1.0,distance,0.1,0.6876332622601279,0.40378464818763327
15,0,100,50,50,0.75,0.4,3,1.0,distance,0.4,0.8086720867208672,0.468970189701897
16,0,100,50,50,0.75,0.4,3,1.0,distance,0.5,0.8567538126361656,0.4919662309368192
17,0,100,50,50,0.75,0.4,3,1.0,distance,0.6,0.8904914529914529,0.5245726495726496
11,0,100,50,50,0.75,0.4,3,1.0,distance,0.0,0.6202127659574468,0.3800531914893617
19,0,100,50,50,0.75,0.4,3,1.0,distance,0.8,0.9524815205913411,0.5914730728616684
18,0,100,50,50,0.75,0.4,3,1.0,distance,0.7,0.9176213857064921,0.562329514457174
21,0,21,50,50,0.75,0.4,3,1.0,distance,1.0,1.0,0.6479915433403806
20,0,100,50,50,0.75,0.4,3,1.0,distance,0.9,0.9672310212998362,0.6090933915892954
28,0,100,50,50,0.75,0.4,3,1.0,relevance,0.6,0.8952684742158427,0.5272461456671983
27,0,100,50,50,0.75,0.4,3,1.0,relevance,0.5,0.8512,0.4997333333333333
29,0,100,50,50,0.75,0.4,3,1.0,relevance,0.7,0.919831223628692,0.5527426160337553
24,0,100,50,50,0.75,0.4,3,1.0,relevance,0.2,0.7342582710779082,0.4275613660618997
26,0,100,50,50,0.75,0.4,3,1.0,relevance,0.4,0.8212170166935918,0.4745557350565428
25,0,100,50,50,0.75,0.4,3,1.0,relevance,0.3,0.7676325861126299,0.4358939311098961
23,0,100,50,50,0.75,0.4,3,1.0,relevance,0.1,0.6726094003241491,0.395732036736899
22,0,100,50,50,0.75,0.4,3,1.0,relevance,0.0,0.6327176781002638,0.3841688654353562
33,0,100,50,50,0.75,0.4,3,1.0,distance_relevance,0.0,0.9989434759640782,0.6065768621236133
