RunId,iteration,Step,width,height,density,minority_pc,homophily,follow_policy,policy,altruism,perc_happy,segregation
0,0,37,50,50,0.75,0.4,3,1.0,random,0.4,1.0,0.6416846071044133
1,0,29,50,50,0.75,0.4,3,1.0,random,0.5,1.0,0.6513404825737266
2,0,33,50,50,0.75,0.4,3,1.0,random,0.6,1.0,0.6428948758584258
3,0,24,50,50,0.75,0.4,3,1.0,random,0.7,1.0,0.643068242880172
5,0,25,50,50,0.75,0.4,3,1.0,random,0.9,1.0,0.6519344438473939
4,0,32,50,50,0.75,0.4,3,1.0,random,0.8,1.0,0.6574320724560468
9,0,100,50,50,0.75,0.4,3,1.0,distance,0.7,0.9172450613988254,0.5505872931126535
6,0,100,50,50,0.75,0.4,3,1.0,distance,0.4,0.8215434083601286,0.46690782422293675
8,0,100,50,50,0.75,0.4,3,1.0,distance,0.6,0.8837707552222818,0.5243706480985538
7,0,100,50,50,0.75,0.4,3,1.0,distance,0.5,0.8434782608695652,0.4982336956521739
10,0,100,50,50,0.75,0.4,3,1.0,distance,0.8,0.9397654584221748,0.5658315565031983
11,0,100,50,50,0.75,0.4,3,1.0,distance,0.9,0.9748797434526991,0.615847140566542
12,0,100,50,50,0.75,0.4,3,1.0,relevance,0.4,0.8321826872012745,0.47716409984067976
18,0,100,50,50,0.75,0.4,3,1.0,distance_relevance,0.4,0.9957872564507636,0.6261190100052659
13,0,100,50,50,0.75,0.4,3,1.0,relevance,0.5,0.8637101135749053,0.49283396430502974
19,0,92,50,50,0.75,0.4,3,1.0,distance_relevance,0.5,1.0,0.6342592592592593
14,0,100,50,50,0.75,0.4,3,1.0,relevance,0.6,0.8962108731466227,0.5225151015925316
16,0,100,50,50,0.75,0.4,3,1.0,relevance,0.8,0.947565543071161,0.5691546281433922
15,0,100,50,50,0.75,0.4,3,1.0,relevance,0.7,0.916622691292876,0.5531662269129287
17,0,100,50,50,0.75,0.4,3,1.0,relevance,0.9,0.9773922187171399,0.6151419558359621
20,0,100,50,50,0.75,0.4,3,1.0,distance_relevance,0.6,0.9984008528784648,0.6327292110874201
22,0,31,50,50,0.75,0.4,3,1.0,distance_relevance,0.8,1.0,0.6278758694489032
21,0,100,50,50,0.75,0.4,3,1.0,distance_relevance,0.7,0.9994734070563455,0.6379673512374934
24,0,100,50,50,0.75,0.4,3,1.0,rich_neighborhood,0.4,0.9710526315789474,0.6111842105263158
23,0,100,50,50,0.75,0.4,3,1.0,distance_relevance,0.9,0.9994609164420485,0.6491913746630728
25,0,100,50,50,0.75,0.4,3,1.0,rich_neighborhood,0.5,0.9739222990952634,0.6365087812666312
26,0,100,50,50,0.75,0.4,3,1.0,rich_neighborhood,0.6,0.9764201500535906,0.6191050375133976
27,0,100,50,50,0.75,0.4,3,1.0,rich_neighborhood,0.7,0.9757255936675462,0.6270448548812665
29,0,100,50,50,0.75,0.4,3,1.0,rich_neighborhood,0.9,0.9946004319654428,0.6353941684665226
28,0,100,50,50,0.75,0.4,3,1.0,rich_neighborhood,0.8,0.9704777241009125,0.6309715512614064
30,0,100,50,50,0.75,0.4,3,1.0,poor_neighborhood,0.4,0.8161805173362686,0.46119977985690697
36,0,30,50,50,0.75,0.4,3,1.0,minimum_improvement,0.4,1.0,0.5877005347593582
31,0,100,50,50,0.75,0.4,3,1.0,poor_neighborhood,0.5,0.8678251711427067,0.5075039494470774
32,0,100,50,50,0.75,0.4,3,1.0,poor_neighborhood,0.6,0.896863370547581,0.5303030303030303
33,0,100,50,50,0.75,0.4,3,1.0,poor_neighborhood,0.7,0.9235262878385555,0.5621348911311737
37,0,23,50,50,0.75,0.4,3,1.0,minimum_improvement,0.5,1.0,0.609577922077922
34,0,100,50,50,0.75,0.4,3,1.0,poor_neighborhood,0.8,0.9448239621650026,0.5773778244876511
35,0,100,50,50,0.75,0.4,3,1.0,poor_neighborhood,0.9,0.973404255319149,0.620877659574468
42,0,21,50,50,0.75,0.4,3,1.0,maximum_improvement,0.4,1.0,0.716469957081545
38,0,28,50,50,0.75,0.4,3,1.0,minimum_improvement,0.6,1.0,0.6277925531914894
39,0,32,50,50,0.75,0.4,3,1.0,minimum_improvement,0.7,1.0,0.640302066772655
43,0,46,50,50,0.75,0.4,3,1.0,maximum_improvement,0.5,1.0,0.699655537890832
44,0,21,50,50,0.75,0.4,3,1.0,maximum_improvement,0.6,1.0,0.6987112046291426
40,0,38,50,50,0.75,0.4,3,1.0,minimum_improvement,0.8,1.0,0.6291399572649573
45,0,30,50,50,0.75,0.4,3,1.0,maximum_improvement,0.7,1.0,0.6918230563002681
41,0,32,50,50,0.75,0.4,3,1.0,minimum_improvement,0.9,1.0,0.63647474198805
46,0,27,50,50,0.75,0.4,3,1.0,maximum_improvement,0.8,1.0,0.6799784133837021
47,0,33,50,50,0.75,0.4,3,1.0,maximum_improvement,0.9,1.0,0.6614890198178897
54,0,23,50,50,0.75,0.4,3,1.0,historically_emptied,0.4,1.0,0.6492718446601942
55,0,42,50,50,0.75,0.4,3,1.0,historically_emptied,0.5,1.0,0.6528670953912111
51,0,100,50,50,0.75,0.4,3,1.0,recently_emptied,0.7,0.996268656716418,0.652318763326226
56,0,36,50,50,0.75,0.4,3,1.0,historically_emptied,0.6,1.0,0.6696574225122349
49,0,100,50,50,0.75,0.4,3,1.0,recently_emptied,0.5,0.9810326659641728,0.648840885142255
52,0,100,50,50,0.75,0.4,3,1.0,recently_emptied,0.8,0.9953125,0.6541666666666667
53,0,100,50,50,0.75,0.4,3,1.0,recently_emptied,0.9,0.993517017828201,0.6520799567801189
